"","az","date","senat","Anordnung","link","kammer","r1","r2","r3","r1_f","r2_f","r3_f","gv","ersetzt","ersatz","konform","c_nach_gversatz","crit","whichgv","gv_mod","real_c","drop","gv_viol"
"2168","1BvR1711/94",1998-08-04,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/08/rk19980804_1bvr171194.html;jsessionid=7E206C850B1D8CA396DC7D94DF86A500.2_cid383",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"4376","1BvR2250/95",1998-08-05,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/08/rk19980805_1bvr225095.html;jsessionid=15F3340EB6D573E2781A336C8538FF69.2_cid394",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"5440","1BvR472/98",1998-08-05,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/08/rk19980805_1bvr047298.html;jsessionid=15F3340EB6D573E2781A336C8538FF69.2_cid394",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"2921","1BvR10/98",1998-08-10,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/08/rk19980810_1bvr001098.html;jsessionid=15F3340EB6D573E2781A336C8538FF69.2_cid394",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"653","1BvR1362/98",1998-08-11,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/08/rk19980811_1bvr136298.html;jsessionid=15F3340EB6D573E2781A336C8538FF69.2_cid394",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"1233","1BvR1334/98",1998-08-11,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/08/rk19980811_1bvr133498.html;jsessionid=B5E238FD19CDE3B3CE14B3899F044F40.2_cid393",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"5457","1BvR1270/94",1998-08-11,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/08/rk19980811_1bvr127094.html;jsessionid=15F3340EB6D573E2781A336C8538FF69.2_cid394",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"1456","1BvL25/96",1998-08-13,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/08/lk19980813_1bvl002596.html;jsessionid=B5E238FD19CDE3B3CE14B3899F044F40.2_cid393",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"5612","1BvR1955/94",1998-08-18,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/08/rk19980818_1bvr195594.html;jsessionid=B5E238FD19CDE3B3CE14B3899F044F40.2_cid393",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"581","1BvR1435/98",1998-08-25,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/08/rk19980825_1bvr143598.html;jsessionid=D2141354F44A678AD2638E38D2CAE485.2_cid392",1,"Papier","Grimm","Steiner","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling","Hömig","Steiner","Papier Grimm Haas",1,0,"2","Haas Steiner Jaeger Kühling",1,FALSE,1
"5040","1BvR2487/94",1998-08-25,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/08/rk19980825_1bvr248794.html;jsessionid=D2141354F44A678AD2638E38D2CAE485.2_cid392",1,"Papier","Grimm","Steiner","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"758","1BvR1540/98",1998-09-15,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/09/rk19980915_1bvr154098.html;jsessionid=D2141354F44A678AD2638E38D2CAE485.2_cid392",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
