i	ID	dateofDecision	senateNumber	chamberNumberCitation	chamberNumberText	judgesFromText_raw	judgesFromText	judgesFromCitation	Anordnung	link
59	58	1BvL11/021BvL12/021BvL13/021BvL16/021BvL17/02	03.02.2003	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/02/lk20030203_1bvl001102.html;jsessionid=C3AFB06AEFD5EC797F45B0D522DB6A85.2_cid361
60	59	1BvR2624/05	20.07.2011	1	3	3	 den Vizepräsidenten Kirchhof den Richter Schluckebier die Richterin Baer  	Kirchhof, Schluckebier, Baer	Kirchhof, Schluckebier, Baer	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/07/rk20110720_1bvr262405.html;jsessionid=A30BAA91BD38623B6BA27EDBE2D8CF31.2_cid392
61	60	2BvR2360/95	15.09.1999	2	2	2	 Präsidentin Limbach die Richter Hassemer Broß  	Limbach, Hassemer, Broß	Limbach, Hassemer, Broß	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/09/rk19990915_2bvr236095.html;jsessionid=39487BDE873AD798016960F1CDE8A13D.2_cid361
62	61	1BvR47/05	08.03.2011	1	1	1	 den Vizepräsidenten Kirchhof die Richter Eichberger Masing  	Kirchhof, Eichberger, Masing	Kirchhof, Eichberger, Masing	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/03/rk20110308_1bvr004705.html;jsessionid=50F91E4FF539A4ECC579B98A5E1F6B57.2_cid393
63	62	1BvR1351/95	02.05.2006	1	1	1	 den Präsidenten Papier die Richterin Hohmann-Dennhardt den Richter Hoffmann-Riem  	Papier, Hohmann-Dennhardt, Hoffmann-Riem	Papier, Hohmann-Dennhardt, Hoffmann-Riem	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/05/rk20060502_1bvr135195.html;jsessionid=509A5631E1AB873511A5D5EE9AB44D75.2_cid394
64	63	2BvR513/06	12.07.2006	2	1	NA	 den Vizepräsidenten Hassemer die Richter Di Fabio Gerhardt  	Hassemer, Di Fabio, Gerhardt	Hassemer, DiFabio, Gerhardt	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/07/rk20060712_2bvr051306.html;jsessionid=0ACA0B4BA9BC326B8E992B364F7741A6.2_cid393
65	64	2BvR574/99	29.04.2002	2	NA	3	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/04/rk20020429_2bvr057499.html;jsessionid=89F26C3A49D9C2D2FD125543AEDAED33.2_cid370
66	65	1BvR117/02	16.05.2002	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/05/rk20020516_1bvr011702.html;jsessionid=F305721248FB0E1E5A52D48E29C3C809.2_cid394
67	66	2BvE5/99	25.03.1999	2	NA	NA	 Präsidentin Limbach Kirchhof Winter Sommer Jentsch Hassemer Broß Osterloh  	Limbach, Kirchhof, Winter, Sommer, Jentsch, Hassemer, Broß, Osterloh	Limbach, Kirchhof, Winter, Sommer, Jentsch, Hassemer, Broß, Osterloh	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/03/es19990325_2bve000599.html;jsessionid=C1FA29B8E2193C7A244136CE942B2960.2_cid392
68	67	1BvR822/93	18.11.1998	1	NA	3	 den Vizepräsidenten Papier die Richterin Haas den Richter Steiner  	Papier, Haas, Steiner	Papier, Haas, Steiner	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/11/rk19981118_1bvr082293.html;jsessionid=080D6BDF486E984FB41071EFB67493B1.2_cid370
69	68	1BvR1106/08	08.12.2010	1	1	1	 den Vizepräsidenten Kirchhof die Richter Eichberger Masing  	Kirchhof, Eichberger, Masing	Kirchhof, Eichberger, Masing	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/12/rk20101208_1bvr110608.html;jsessionid=F5B41C3509EEB8C57827659AA0010C51.2_cid370
70	69	1BvL17/12	05.10.2012	1	2	2	 die Richter Gaier Eichberger die Richterin Britz  	Gaier, Eichberger, Britz	Gaier, Eichberger, Britz	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/10/lk20121005_1bvl001712.html;jsessionid=F57221A06D40EA6EFF826FFEE6121191.2_cid393
71	70	2BvR583/07	27.02.2008	2	3	3	 den Richter Broß die Richterin Osterloh den Richter Mellinghoff  	Broß, Osterloh, Mellinghoff	Broß, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/02/rk20080227_2bvr058307.html;jsessionid=5D562AB56F452A7EDF07762921C18389.2_cid383
72	71	2BvR2448/04	18.09.2006	2	2	2	 den Richter Broß die Richterin Lübbe-Wolff den Richter Gerhardt  	Broß, Lübbe-Wolff, Gerhardt	Broß, Lübbe-Wolff, Gerhardt	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/09/rk20060918_2bvr244804.html;jsessionid=6DE55F6CB9BFCB6C3732C6040FF5BB50.2_cid394
73	72	1BvR1781/05	05.09.2005	1	3	NA	 den Präsidenten Papier die Richter Steiner Gaier  	Papier, Steiner, Gaier	Papier, Steiner, Gaier	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/09/rk20050905_1bvr178105.html;jsessionid=B0D5A2BDB7BAA98A9362AEE213BE6BB3.2_cid370
74	73	2BvR431/09	14.06.2011	2	3	3	 den Richter Mellinghoff die Richterin Lübbe-Wolff den Richter Huber  	Mellinghoff, Lübbe-Wolff, Huber	Mellinghoff, Lübbe-Wolff, Huber	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/06/rk20110614_2bvr043109.html;jsessionid=F59D0307D760635D47E7290396324DC4.2_cid361
75	74	1BvR160/15	11.02.2015	1	1	1	 den Vizepräsidenten Kirchhof   den Richter Eichberger   die Richterin Britz  	Kirchhof, Eichberger, Britz	Kirchhof, Eichberger, Britz	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/02/rk20150211_1bvr016015.html;jsessionid=2C661D5CFEF1AACFE567F35EC16F22DD.2_cid383
76	75	NA	None	NA	NA	NA	 	No names in the text	None	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/09/rk20010920_2bvr134901.html;jsessionid=1F7F65780DFBA22CEEDFCBFEFFD0FC9E.2_cid392
77	76	2BvR2262/07	29.01.2008	2	1	NA	 den Vizepräsidenten Hassemer die Richter Di Fabio Landau  	Hassemer, Di Fabio, Landau	Hassemer, DiFabio, Landau	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/01/rk20080129_2bvr226207.html;jsessionid=B2C36419F9D39A9AE2102F7EAA3E7D78.2_cid394
78	77	2BvR706/08	30.04.2008	2	2	2	 den Richter Broß die Richterin Lübbe-Wolff den Richter Gerhardt  	Broß, Lübbe-Wolff, Gerhardt	Broß, Lübbe-Wolff, Gerhardt	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/04/rk20080430_2bvr070608.html;jsessionid=45B4D59DD02083EAD47B4078E498DDD9.2_cid361
79	78	1BvR179/94	21.10.1998	1	1	1	 Vizepräsidenten Papier die Richter Grimm Hömig  	Papier, Grimm, Hömig	Papier, Grimm, Hömig	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/10/rk19981021_1bvr017994.html;jsessionid=DEF3F1C60389A8955FDDA456C0E829BF.2_cid383
80	79	2BvR1054/02	12.11.2002	2	3	3	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/11/rk20021112_2bvr105402.html;jsessionid=9845E7839E3FB3B2060DF7DD86AFF1DB.2_cid393
81	80	2BvQ32/98	15.10.1998	2	2	2	 die Richterin Präsidentin Limbach die Richter Winter Hassemer  	Limbach, Winter, Hassemer	Limbach, Winter, Hassemer	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/10/qk19981015_2bvq003298.html;jsessionid=9231227D3AA9A1E31A3B4FFAFFF9705B.2_cid394
82	81	1BvR302/96	18.11.2003	1	NA	NA	 des Präsidenten Papier der Richterinnen Jaeger Haas der Richter Hömig Steiner der Richterin Hohmann-Dennhardt der Richter Hoffmann-Riem Bryde  	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/11/rs20031118_1bvr030296.html;jsessionid=63E1B4881D175B458DF2D39A794CDB39.2_cid370
83	82	1BvF1/09	30.01.2012	1	NA	NA	 Vizepräsident Kirchhof Gaier Eichberger Schluckebier Masing Paulus Baer Britz  	Kirchhof, Gaier, Eichberger, Schluckebier, Masing, Paulus, Baer, Britz	Kirchhof, Gaier, Eichberger, Schluckebier, Masing, Paulus, Baer, Britz	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/01/fs20120130_1bvf000109.html;jsessionid=1AB9C483AAD944803CFA1565D2C0724C.2_cid394
84	83	2BvR2307/07	21.01.2008	2	3	3	 den Richter Broß die Richterin Osterloh den Richter Mellinghoff  	Broß, Osterloh, Mellinghoff	Broß, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/01/rk20080121_2bvr230707.html;jsessionid=7E0E3D1BD9CF1A3CC948320EED80076E.2_cid361
85	84	1BvR2485/12	24.06.2015	1	1	1	 den Vizepräsidenten Kirchhof   den Richter Eichberger   die Richterin Britz  	Kirchhof, Eichberger, Britz	Kirchhof, Eichberger, Britz	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/06/rk20150624_1bvr248512.html;jsessionid=E8AD9433912452FF9900D47BEB666A8A.2_cid383
86	85	2BvR954/02	16.03.2006	2	1	1	 den Vizepräsidenten Hassemer die Richter Di Fabio Landau  	Hassemer, Di Fabio, Landau	Hassemer, DiFabio, Landau	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/03/rk20060316_2bvr095402.html;jsessionid=53930F6B81ACD01F9C75BE4DBB16C37A.2_cid394
87	86	1BvQ25/15	20.07.2015	1	3	3	 die Richter Gaier   Masing   die Richterin Baer  	Gaier, Masing, Baer	Gaier, Masing, Baer	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/07/qk20150720_1bvq002515.html;jsessionid=0B1F08F8152FD4773BA3A340FB471CB3.2_cid394
88	87	2BvR660/05	12.01.2006	2	3	NA	 den Richter Broß die Richterin Osterloh den Richter Mellinghoff  	Broß, Osterloh, Mellinghoff	Broß, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/01/rk20060112_2bvr066005.html;jsessionid=17C06F891C077DA7931653949BBBAF9E.2_cid361
89	88	1BvL8/07	21.07.2010	1	NA	NA	 Vizepräsident Kirchhof Hohmann-Dennhardt Bryde Gaier Eichberger Schluckebier Masing  	Kirchhof, Hohmann-Dennhardt, Bryde, Gaier, Eichberger, Schluckebier, Masing	Kirchhof, Hohmann-Dennhardt, Bryde, Gaier, Eichberger, Schluckebier, Masing	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/07/ls20100721_1bvl000807.html;jsessionid=D81C7F795EEA8BF0221554506B5F51AF.2_cid383
90	89	2BvR319/02	03.02.2003	2	3	3	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/02/rk20030203_2bvr031902.html;jsessionid=C3AFB06AEFD5EC797F45B0D522DB6A85.2_cid361
91	90	1BvR2585/06	17.08.2010	1	1	1	 den Vizepräsidenten Kirchhof die Richter Eichberger Masing  	Kirchhof, Eichberger, Masing	Kirchhof, Eichberger, Masing	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/08/rk20100817_1bvr258506.html;jsessionid=B69AD044311B5622E1A36C4E9D4444D4.2_cid392
92	91	2BvL1/05	14.02.2005	2	2	2	 die Richter Jentsch Broß Gerhardt  	Jentsch, Broß, Gerhardt	Jentsch, Broß, Gerhardt	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/02/lk20050214_2bvl000105.html;jsessionid=7C46A18BF3CEBCAC491CF107259161BA.2_cid383
93	92	2BvR191/09	19.02.2009	2	2	2	 die Richter Broß Di Fabio Landau  	Broß, Di Fabio, Landau	Broß, DiFabio, Landau	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/02/rk20090219_2bvr019109.html;jsessionid=8D60BC7CBD2F5196C92A8C7CA855321B.2_cid383
94	93	1BvR1351/01	14.02.2007	1	1	NA	 den Präsidenten Papier die Richterin Hohmann-Dennhardt den Richter Hoffmann-Riem  	Papier, Hohmann-Dennhardt, Hoffmann-Riem	Papier, Hohmann-Dennhardt, Hoffmann-Riem	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/02/rk20070214_1bvr135101.html;jsessionid=45943E37C582A85927D6A3ED0314B868.2_cid370
95	94	1BvQ49/01	08.12.2001	1	1	1	 den Vizepräsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/12/qk20011208_1bvq004901.html;jsessionid=D751BD09368854F1DA5488917A4A1CBD.2_cid393
96	95	1BvR506/09	21.12.2010	1	2	2	 die Richterin Hohmann-Dennhardt die Richter Gaier Paulus  	Hohmann-Dennhardt, Gaier, Paulus	Hohmann-Dennhardt, Gaier, Paulus	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/12/rk20101221_1bvr050609.html;jsessionid=8DC23AD475F296A921E6825BB5BD8D2F.2_cid392
97	96	2BvC16/99	09.10.2000	2	NA	NA	 Präsidentin Limbach Sommer Jentsch Hassemer Broß Osterloh Di Fabio  	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, Di Fabio	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, DiFabio	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/10/cs20001009_2bvc001699.html;jsessionid=E72245B03ED57D57470D6D5BCC75C8CF.2_cid361
98	97	1BvR518/02	03.07.2006	1	NA	NA	 des Präsidenten Papier der Richterin Haas des Richters Steiner der Richterin Hohmann-Dennhardt der Richter Hoffmann-Riem Bryde Gaier Eichberger  	Papier, Haas, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde, Gaier, Eichberger	Papier, Haas, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde, Gaier, Eichberger	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/07/rs20060703_1bvr051802.html;jsessionid=4473BF7B60028541E2D5521F79900042.2_cid394
99	98	2BvR1301/01	17.08.2001	2	2	2	 Sommer Jentsch Broß  	Sommer, Jentsch, Broß	Sommer, Jentsch, Broß	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/08/rk20010817_2bvr130101.html;jsessionid=A3A45206CD447D2B760C06E246207FAF.2_cid370
100	99	2BvR695/00	10.10.2001	2	1	1	 Sommer Broß Mellinghoff  	Sommer, Broß, Mellinghoff	Sommer, Broß, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/10/rk20011010_2bvr069500.html;jsessionid=8A7EF691B455FE1DCA7920440CF41733.2_cid383
101	100	1BvR2121/94	22.08.2000	1	1	1	 Vizepräsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/08/rk20000822_1bvr212194.html;jsessionid=B936E3B7FE84BCE89255E956407C2149.2_cid361
102	101	1BvR2310/05	05.04.2006	1	3	3	 den Präsidenten Papier die Richter Steiner Gaier  	Papier, Steiner, Gaier	Papier, Steiner, Gaier	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/04/rk20060405_1bvr231005.html;jsessionid=50DD11F3D57CB478DDD960E8A724BA5B.2_cid394
103	102	1BvR1172/02	04.02.2004	1	3	3	 den Präsidenten Papier den Richter Steiner die Richterin Hohmann-Dennhardt  	Papier, Steiner, Hohmann-Dennhardt	Papier, Steiner, Hohmann-Dennhardt	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/02/rk20040204_1bvr117202.html;jsessionid=88BAEA4CFE93339DCCFFCCDE5BFBCAE4.2_cid370
104	103	1BvR1805/94	27.01.1999	1	1	1	 Vizepräsidenten Papier die Richter Grimm Hömig  	Papier, Grimm, Hömig	Papier, Grimm, Hömig	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/01/rk19990127_1bvr180594.html;jsessionid=C7D0E7297AABBBDC6D7C830F241508E7.2_cid383
105	104	1BvR793/01	15.11.2001	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/11/rk20011115_1bvr079301.html;jsessionid=2CAE11F22B9E1B362A01D0D133EA98CA.2_cid383
106	105	1BvQ39/10	16.10.2010	1	1	1	 den Vizepräsidenten Kirchhof die Richter Eichberger Masing  	Kirchhof, Eichberger, Masing	Kirchhof, Eichberger, Masing	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/10/qk20101016_1bvq003910.html;jsessionid=A9FF3E65AFBACC9C5ECF5EE056E2BBBC.2_cid361
107	106	1BvQ18/07	06.06.2007	1	1	1	 den Präsidenten Papier die Richter Hoffmann-Riem Gaier  	Papier, Hoffmann-Riem, Gaier	Papier, Hoffmann-Riem, Gaier	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/06/qk20070606_1bvq001807.html;jsessionid=C2D9D1A94827E901F7EB9068D0921EBF.2_cid394
108	107	2BvR1473/01	16.07.2002	2	3	3	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/07/rk20020716_2bvr147301.html;jsessionid=59ED51B995DF1CA45FFC98403D79545E.2_cid393
109	108	2BvR1502/04	30.06.2005	2	3	NA	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/06/rk20050630_2bvr150204.html;jsessionid=2FA06F89FC454404B9F3F0086895686F.2_cid392
110	109	2BvB1/012BvB2/012BvB3/01	22.11.2001	2	NA	NA	 Präsidentin Limbach Sommer Jentsch Hassemer Broß Osterloh Di Fabio Mellinghoff  	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, Di Fabio, Mellinghoff	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, DiFabio, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/11/bs20011122_2bvb000101.html;jsessionid=856BA3611B3B02DACB829A312BCF465B.2_cid383
111	110	2BvR455/08	04.02.2009	2	3	3	 den Vizepräsidenten Voßkuhle den Richter Mellinghoff die Richterin Lübbe-Wolff  	Voßkuhle, Mellinghoff, Lübbe-Wolff	Voßkuhle, Mellinghoff, Lübbe-Wolff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/02/rk20090204_2bvr045508.html;jsessionid=03F443AFC69D30E56E8EF98E1E7EDDB5.2_cid361
112	111	2BvR452/01	13.06.2002	2	3	3	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/06/rk20020613_2bvr045201.html;jsessionid=2772AB319472F1D3E51EE6AFB666256B.2_cid370
113	112	1BvR689/11	13.04.2011	1	3	3	 den Vizepräsidenten Kirchhof den Richter Schluckebier die Richterin Baer  	Kirchhof, Schluckebier, Baer	Kirchhof, Schluckebier, Baer	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/04/rk20110413_1bvr068911.html;jsessionid=D0CC332B969E3220F33BA40B58A7DF3B.2_cid392
114	113	1BvR2075/98	22.01.2001	1	1	1	 den Vizepräsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/01/rk20010122_1bvr207598.html;jsessionid=33515FE184E205A92F4623B2785B578A.2_cid370
115	114	2BvR2457/13	18.11.2013	2	2	2	 den Richter Gerhardt die Richterin Hermanns den Richter Müller  	Gerhardt, Hermanns, Müller	Gerhardt, Hermanns, Müller	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2013/11/rk20131118_2bvr245713.html;jsessionid=85CFCB82CF99B11FF23881794AC7C5C7.2_cid383
116	115	2BvR602/15	17.04.2015	2	3	3	 die Richter Huber   Müller   Maidowski  	Huber, Müller, Maidowski	Huber, Müller, Maidowski	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/04/rk20150417_2bvr060215.html;jsessionid=6F65BAF7462F4130CC76345CD7A9EF08.2_cid361
117	116	2BvR88/03	16.04.2004	2	3	NA	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/04/rk20040416_2bvr008803.html;jsessionid=39288F58D60EEDADC3B271BD129A0E89.2_cid394
118	117	1BvR1337/06	20.09.2006	1	1	NA	 den Präsidenten Papier die Richterin Hohmann-Dennhardt den Richter Hoffmann-Riem  	Papier, Hohmann-Dennhardt, Hoffmann-Riem	Papier, Hohmann-Dennhardt, Hoffmann-Riem	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/09/rk20060920_1bvr133706.html;jsessionid=324D6323B30767BB704AA875D3454C7E.2_cid370
119	118	1BvR2411/10	28.04.2011	1	1	1	 den Vizepräsidenten Kirchhof die Richter Eichberger Masing  	Kirchhof, Eichberger, Masing	Kirchhof, Eichberger, Masing	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/04/rk20110428_1bvr241110.html;jsessionid=3128BD5DE4F09D2A885FD47ED405C691.2_cid383
120	119	1BvR1384/94	05.05.1998	1	NA	1	 Vizepräsidenten Papier die Richter Grimm Hömig  	Papier, Grimm, Hömig	Papier, Grimm, Hömig	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/05/rk19980505_1bvr138494.html;jsessionid=22DE9A56B5AE7F2AC1621AC313EA584B.2_cid394
121	120	1BvR1962/01	07.03.2002	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde, 	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/03/rk20020307_1bvr196201.html;jsessionid=2D6578FA1910D0FE4828826B33434ED9.2_cid383
122	121	1BvR1843/10	21.05.2012	1	3	3	 den Vizepräsidenten Kirchhof den Richter Schluckebier die Richterin Baer  	Kirchhof, Schluckebier, Baer	Kirchhof, Schluckebier, Baer	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/05/rk20120521_1bvr184310.html;jsessionid=D311B8B7306AF0251A6A0C8756DD9B14.2_cid383
123	122	2BvR1328/03	29.07.2005	2	3	NA	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/07/rk20050729_2bvr132803.html;jsessionid=27F548DF4DB9539D630077236A169468.2_cid394
124	123	1BvR565/12	03.09.2014	1	3	3	 den Vizepräsidenten Kirchhof   den Richter Masing   die Richterin Baer  	Kirchhof, Masing, Baer	Kirchhof, Masing, Baer	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/09/rk20140903_1bvr056512.html;jsessionid=1ED2BC56F5239779499B7C3E997A2BA4.2_cid394
125	124	2BvF1/15	15.02.2016	2	NA	NA	 Präsident Voßkuhle   Landau   Huber   Müller   Kessal-Wulf   Maidowski  	Voßkuhle, Landau, Huber, Müller, Kessal-Wulf, Maidowski	Voßkuhle, Landau, Huber, Müller, Kessal-Wulf, Maidowski	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2016/02/fs20160215_2bvf000115.html;jsessionid=A3C6F3F415883864366316145CF68B8E.2_cid361
126	125	1BvR2492/08	21.03.2012	1	1	1	 den Vizepräsidenten Kirchhof die Richter Eichberger Masing  	Kirchhof, Eichberger, Masing	Kirchhof, Eichberger, Masing	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/03/rk20120321_1bvr249208.html;jsessionid=138359912675C0969DFF26711E040F9B.2_cid393
127	126	1BvR1565/10	06.01.2011	1	3	3	 den Vizepräsidenten Kirchhof die Richter Bryde Schluckebier  	Kirchhof, Bryde, Schluckebier	Kirchhof, Bryde, Schluckebier	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/01/rk20110106_1bvr156510.html;jsessionid=8DC23AD475F296A921E6825BB5BD8D2F.2_cid392
128	127	2BvR2094/05	18.04.2007	2	3	NA	 den Richter Broß die Richterin Osterloh den Richter Mellinghoff  	Broß, Osterloh, Mellinghoff	Broß, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/04/rk20070418_2bvr209405.html;jsessionid=A6900DECCC3B9D1A13C8D08D62381D57.2_cid361
129	128	1BvR781/98	16.11.1999	1	2	2	 den Richter Kühling die Richterin Jaeger den Richter Steiner  	Kühling, Jaeger, Steiner	Kühling, Jaeger, Steiner	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/11/rk19991116_1bvr078198.html;jsessionid=8252ED6DFBC317F6E5E16E1A7B9D8ED0.2_cid394
